year,EcGDP,EcGDP2,UsGDP,UsGDP2,"Ec - Population ages 40-44, female (% of female population)","Ec - Population ages 35-39, male (% of male population)","Ec - Population ages 35-39, female (% of female population)","Ec - Population ages 30-34, male (% of male population)","Ec - Population ages 30-34, female (% of female population)","Ec - Population ages 25-29, male (% of male population)","Ec - Population ages 25-29, female (% of female population)","Ec - Population ages 20-24, male (% of male population)","Ec - Population ages 20-24, female (% of female population)","Ec - Population ages 15-19, male (% of male population)","Ec - Population ages 15-19, female (% of female population)","Ec - Population ages 10-14, male (% of male population)","Ec - Population ages 10-14, female (% of female population)","Ec - Population ages 05-09, male (% of male population)","Ec - Population ages 05-09, female (% of female population)"
1992,1688.505067,-73.52233288,25418.99078,46.18866894,4.732866278,6.06287439,6.13555074,7.106702743,7.132753402,8.407027893,8.372126883,9.707501566,9.623114508,10.72810485,10.59039058,11.65096236,11.40970361,12.71216774,12.36168804
1993,1727.754058,-72.90686437,26387.29373,47.94816542,4.942317106,6.083234691,6.157745013,7.158987957,7.184084756,8.459574255,8.427059745,9.690093097,9.610557245,10.63957973,10.49441145,11.58961092,11.32678451,12.61952991,12.26754856
1994,2026.112715,-68.22826354,27694.85342,50.3241229,5.127678142,6.102458707,6.177934115,7.214350078,7.239040211,8.503051744,8.473712395,9.661391773,9.58401169,10.55959446,10.40239786,11.52984939,11.2478107,12.51752256,12.16773966
1995,2132.906969,-66.55360898,28690.8757,52.13398797,5.262919664,6.13527835,6.21142487,7.269800005,7.294914522,8.533263925,8.507441162,9.622123233,9.54294765,10.49220986,10.31902926,11.46552328,11.1694453,12.40269602,12.05493204
1996,2155.517229,-66.19905455,29967.71272,54.45411951,5.354355611,6.170689704,6.246814028,7.315564652,7.342247501,8.539367164,8.518771415,9.561836345,9.483100378,10.43007358,10.24354431,11.41078259,11.10430827,12.30744396,11.95586949
1997,2356.370843,-63.04944296,31459.139,57.1641797,5.402263879,6.209473347,6.285644167,7.360717263,7.390151082,8.533952466,8.519670268,9.492122871,9.411051793,10.38183706,10.17738877,11.35398526,11.04088363,12.19720121,11.84157887
1998,2293.889735,-64.02921732,32853.67698,59.69818483,5.422881304,6.251775446,6.32836338,7.40304838,7.436291304,8.519432771,8.511287817,9.422175857,9.335198788,10.34633858,10.12113984,11.29458207,10.97789989,12.07479895,11.71447676
1999,1578.933536,-75.24053828,34513.5615,62.71434929,5.44167565,6.297147519,6.374943369,7.439926536,7.477843305,8.499120767,8.495233109,9.36485808,9.267584252,10.31989552,10.07434604,11.23210796,10.91258098,11.9488463,11.58303981
2000,1445.279324,-77.33638732,36334.90878,66.02390658,5.473368753,6.345198918,6.425147452,7.469884099,7.513057389,8.475891961,8.472768369,9.327606742,9.215188687,10.29799884,10.03501603,11.16418302,10.84073627,11.82884827,11.4571584
2001,1894.615169,-70.29029362,37133.24281,67.47455372,5.512707302,6.393891409,6.47446532,7.482604005,7.529051002,8.430294051,8.424452473,9.284791952,9.158586862,10.25945218,9.990460761,11.09173208,10.76606605,11.73523618,11.35721288
